0,1,2,3,4,project,sample_id,site,stage,latin.genus,latin.species,growth.form,functional.group,latitude,Al_area,Al_mass,Ca_area,Ca_mass,Carea,Cmass,Cu_area,Cu_mass,EWT,Fe_area,Fe_mass,K_area,K_mass,LDMC,LMA,Mg_area,Mg_mass,Mn_area,Mn_mass,Na_area,Na_mass,Narea,Nmass,P_area,P_mass,Zn_area,Zn_mass,car_area,car_mass,hemicellulose_area,cellulose_area,hemicellulose_mass,cellulose_mass,chlA_area,chlA_mass,chlB_area,chlB_mass,hemicellulose_area,hemicellulose_mass,lignin_area,lignin_mass,solubles_area,solubles_mass
-0.6380991,0.0044036596,-1.1612062,0.60479736,-0.0068902373,2018-BeauchampRioux-MSc-UdeM,9332593,MSB_Chemin,-99,Betula,populifolia,tree,broadleaf,45.5437891,5.11451316595224e-09,0.001,4.15298469075321e-05,8.12,0.0024682640538885,48.26,3.06870789957134e-08,0.006,0.0958236374770361,3.22214329454991e-07,0.063,3.21600587875077e-05,6.288,348.0,0.0511451316595223,8.77139007960808e-06,1.715,5.57481935088794e-07,0.109,3.49832700551133e-06,0.684,0.0001359539889773,2.6582,8.28039681567667e-06,1.619,7.51833435394979e-07,0.147,8.61795468462952e-06,1.685,0.000513274006903,0.0004178788525471,10.0356376110242,8.17045218162618,3.78627409675444e-05,7.403,1.14871965707287e-05,2.246,0.000513274006903,10.0356376110242,0.0004941889539273,9.6624827797345,0.0036700812811785,71.7581744751498
1.1004492,-0.0058549414,1.2670945,-0.7540846,0.009031346,2018-BeauchampRioux-MSc-UdeM,9339703,MSB_Parking,-99,Populus,tremuloides,tree,broadleaf,45.5461982,2.81097360279112e-07,0.041,5.37718682114408e-05,7.843,0.0032600437759199,47.55,5.48482654203145e-08,0.008,0.105885063524455,3.35945625699426e-07,0.049,5.0405555921269e-05,7.352,365.361678243177,0.0685603317753931,8.67973800276477e-06,1.266,1.78256862616022e-07,0.026,1.12987426765848e-05,1.648,0.0001588405766572,2.3168,1.01812092686459e-05,1.485,3.29089592521887e-07,0.048,1.07982522546244e-05,1.575,0.000429451632543,0.0007388139204724,6.26384997595865,10.7761135534304,5.18316108221972e-05,7.56,1.69412579816996e-05,2.471,0.000429451632543,6.26384997595865,0.0004876662758186,7.11295093227233,0.0051735196192067,75.4593725735668
0.7337245,-0.0049050483,1.4018953,-0.66532326,0.009091495,2018-BeauchampRioux-MSc-UdeM,9341052,MSB_Parking,-99,Populus,tremuloides,tree,broadleaf,45.5463507,9.99947923077654e-08,0.015,5.63170670277335e-05,8.448,0.00316783502031,47.52,5.33305558974749e-08,0.008,0.108504634846089,2.93318057436112e-07,0.044,6.7509817446716e-05,10.127,356.12038442084,0.0666631948718436,1.02261340933408e-05,1.534,1.93323265128346e-07,0.029,4.8997448230805e-06,0.735,0.0001712310823478,2.5686,1.2006041396419e-05,1.801,4.79975003077274e-07,0.072,1.17393886169317e-05,1.761,0.0004952157684151,0.000688976178647,7.42862338607019,10.3351809041189,5.32372274246543e-05,7.986,1.68657883025764e-05,2.53,0.0004952157684151,7.42862338607019,0.0006453428914363,9.68064750987336,0.0048109218981351,72.167586737837
1.3115381,-0.006546443,1.1016264,-0.25104427,0.009272125,2018-BeauchampRioux-MSc-UdeM,9342628,MSB_Parking,-99,Populus,tremuloides,tree,broadleaf,45.5462041,1.71611241433237e-07,0.026,6.01959431488893e-05,9.12,0.0031807483556414,48.19,6.60043236281681e-08,0.01,0.108780644864542,3.69624212317741e-07,0.056,5.60046685985006e-05,8.485,354.817440039562,0.0660043236281681,1.11019272342579e-05,1.682,2.17814267972955e-07,0.033,6.85784922496666e-06,1.039,0.0001931418518007,2.9262,1.17157674439998e-05,1.775,5.01632859574077e-07,0.076,1.5095188813762e-05,2.287,0.0004780033927706,0.0007078874912005,7.24200122803251,10.7248654677289,6.39515891633321e-05,9.689,2.00389126535118e-05,3.036,0.0004780033927706,7.24200122803251,0.0006053042496111,9.17067574271471,0.0047783570176882,72.3946062171154
1.398121,-0.006690428,1.2271149,-0.797801,0.009078292,2018-BeauchampRioux-MSc-UdeM,9344541,MSB_Parking,-99,Populus,tremuloides,tree,broadleaf,45.54568,1.42149035724699e-07,0.02,5.46634116879331e-05,7.691,0.0035196101245435,49.52,7.10745178623496e-08,0.01,0.109423378642934,4.05124751815393e-07,0.057,4.99653860572318e-05,7.03,378.358402010422,0.0710745178623496,1.13292781472585e-05,1.594,3.19835330380573e-07,0.045,1.2644156727712e-05,1.779,0.0002005651819557,2.8219,1.25659747580634e-05,1.768,5.75703594685032e-07,0.081,1.240250336698e-05,1.745,-99.0,-99.0,-99.0,-99.0,5.99016036543883e-05,8.428,1.94673104424976e-05,2.739,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1.0926772,-0.005630952,1.1778725,-0.69505215,0.00859333,2018-BeauchampRioux-MSc-UdeM,9345773,MSB_Parking,-99,Populus,tremuloides,tree,broadleaf,45.5457204,1.63199659912143e-07,0.022,6.18749256057813e-05,8.341,0.0035258544707382,47.53,8.15998299560717e-08,0.011,0.107907042652685,3.3381748618393e-07,0.045,6.62961527561285e-05,8.937,379.526588610577,0.0741816635964288,1.26108828113929e-05,1.7,2.67053988947144e-07,0.036,8.18965566104575e-06,1.104,0.0001892003330026,2.5505,1.26553918095508e-05,1.706,6.00871475131074e-07,0.081,1.33304449482783e-05,1.797,-99.0,-99.0,-99.0,-99.0,5.78023522743374e-05,7.792,1.80706532520901e-05,2.436,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1.8553559,-0.0045035337,-0.9446235,-0.56357384,-0.0043582413,2018-BeauchampRioux-MSc-UdeM,10277030,MSB_Chemin,-99,Acer,rubrum,tree,broadleaf,45.5444604899,0.0,0.0,2.42702652008544e-05,4.864,0.0023886052532173,47.87,6.98568488511435e-08,0.014,0.0685699213254831,3.04376269994268e-07,0.061,2.72192221773563e-05,5.455,392.133278738868,0.0498977491793882,1.04186500286563e-05,2.088,2.49488745896941e-07,0.05,4.03173813369457e-06,0.808,0.0001220199558432,2.4454,8.971615302454e-06,1.798,8.482617360496e-08,0.017,9.8198770385036e-06,1.968,-99.0,-99.0,-99.0,-99.0,4.48181583129265e-05,8.982,1.53385680977439e-05,3.074,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.08418238,0.0023122502,-0.9321463,-1.6647024,-0.009316457,2018-BeauchampRioux-MSc-UdeM,10277961,MSB_Chemin,-99,Acer,rubrum,tree,broadleaf,45.5442848,0.0,0.0,1.87192818030722e-05,3.723,0.0024255120982546,48.24,3.51960710774927e-08,0.007,0.0760518118759893,2.66484538158159e-07,0.053,1.91114665950786e-05,3.801,379.850278863074,0.0502801015392753,6.78781370780217e-06,1.35,3.41904690467072e-07,0.068,3.54977516867284e-06,0.706,0.0001107067275691,2.2018,6.48110508841259e-06,1.289,8.54761726167681e-08,0.017,7.42637099735097e-06,1.477,-99.0,-99.0,-99.0,-99.0,3.71821350882941e-05,7.395,1.25096892629717e-05,2.488,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
0.4880749,-0.0027454053,0.40454102,0.5003195,0.0059804637,2018-BeauchampRioux-MSc-UdeM,10279905,MSB_Chemin,-99,Acer,rubrum,tree,broadleaf,45.544466595,7.87615138362433e-08,0.014,2.93105347919162e-05,5.21,0.0026852050395742,47.73,5.06324017518706e-08,0.009,0.0752957427447283,3.43175167429346e-07,0.061,2.6362603845474e-05,4.686,404.333403909944,0.0562582241687452,1.14598002631734e-05,2.037,1.02389967987116e-06,0.182,5.11387257693894e-06,0.909,0.000117962244437,2.0968,8.00554529921244e-06,1.423,1.06890625920616e-07,0.019,8.20244908380305e-06,1.458,-99.0,-99.0,-99.0,-99.0,3.79686754914861e-05,6.749,1.14260453286721e-05,2.031,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
1.4570218,-0.004227709,-0.28579378,-0.33224487,0.0020448323,2018-BeauchampRioux-MSc-UdeM,10281100,MSB_Chemin,-99,Acer,rubrum,tree,broadleaf,45.544158755,0.0,0.0,2.4722097743606e-05,4.336,0.0027139572246209,47.6,4.56127264642177e-08,0.008,0.0719413882633082,3.82006584137823e-07,0.067,2.91009194841709e-05,5.104,417.132362586908,0.0570159080802721,8.60370052931306e-06,1.509,4.73232037066258e-07,0.083,1.69907406079211e-06,0.298,0.0001279322945505,2.2438,8.40984644184013e-06,1.475,9.69270437364626e-08,0.017,9.89796164273523e-06,1.736,-99.0,-99.0,-99.0,-99.0,4.84407155049992e-05,8.496,1.6551718115703e-05,2.903,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
