principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,latitude,hemicellulose_area,cellulose_area,hemicellulose_mass,cellulose_mass,hemicellulose_area,hemicellulose_mass,lignin_area,lignin_mass,solubles_area,solubles_mass,bio_1,bio_12,bio_13-14,bio_15,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
-50.402164,-0.87060803,-18.820389,2.2335346,-3.4910884,-4.7051806,-1.1187985,0.07483499,2.686251,-2.2733629,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-69.925125,0.20875825,5.5566726,15.875065,-7.989586,2.9628453,-2.308101,1.4696394,0.67608666,0.25979227,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-26.145147,11.759993,-19.054905,2.3209832,-3.2530694,-0.98613393,-0.8698296,-0.008178025,-0.07062979,-0.34206107,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-23.58263,14.883932,-18.970959,-0.82844514,-2.339855,-1.5846685,-0.3378275,-0.19476031,0.16928111,-0.07169658,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-47.514164,19.741505,-28.851496,1.8132606,-3.6935792,-0.660552,-2.0082583,0.7017965,-1.4476045,-1.1614361,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-46.711044,5.637838,-12.524925,0.36814618,-4.1871233,-3.7439964,-0.60459167,-0.92435104,2.3687403,-1.2805386,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-46.81974,17.562052,-25.374966,6.5837455,-0.3992732,-2.502266,-0.12345494,0.7783852,0.08394418,-1.0885632,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-43.640087,-1.3908688,-11.16535,1.2857287,-2.2736664,-1.1280268,0.052640323,-3.0782418,0.9167356,-0.14868958,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-3.9476354,11.127109,4.3953676,21.843916,-3.3541956,-6.8675933,3.4648561,3.83645,2.7685273,-1.1807066,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-39.927345,-6.758296,4.6223,18.918827,-2.5087261,-2.3861253,0.8520342,1.4664512,2.63713,-0.9184053,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-19.919107,25.663364,-0.039659962,16.619347,-6.7816944,-7.63235,3.5148523,4.267535,3.586379,-0.0909561,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-29.142822,-3.8892257,1.5174718,8.988594,-3.8670306,-0.90882623,1.8602682,-2.1196957,0.48599434,0.042229082,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-14.588819,32.81551,-34.55684,-3.078182,1.3144898,-5.8314695,-0.10201097,2.2616444,0.98553246,-3.751626,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
18.405937,-1.6585361,-12.121313,-0.27450553,0.8446293,-3.2104106,0.19388196,-0.015334706,1.8771996,-1.1013057,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-13.622881,7.4478445,-29.441435,-2.8511527,-0.23749886,-6.4786663,-1.9959656,1.5482435,4.123253,-2.3752747,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-5.156119,-3.4546304,-24.09738,-2.6693294,1.9937735,-3.4302785,-1.2852257,0.29579648,2.3784192,-2.5892224,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-45.28991,1.803324,-15.182166,-2.7095115,-2.1125834,-2.137456,-1.366241,-2.8872292,0.51408565,-1.1917275,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-26.53504,21.799215,11.312172,27.82491,-4.309961,-4.970224,3.7765036,6.1157966,2.2201946,-1.4775158,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
1.0841585,-2.0099998,-25.320967,0.59335047,1.8018503,-4.524057,-0.2424405,0.3216023,2.2551227,-3.0174558,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-43.40709,-2.1611664,-15.302375,-1.90959,-1.3319377,-3.558984,-1.079929,-1.5331773,2.2530015,-1.2512065,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-18.672083,-6.79199,-29.295528,2.1495516,1.1744305,-3.4402034,-0.101185925,1.0140092,0.88006234,-3.0012338,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-38.859867,-6.020956,5.738509,13.088449,-3.679901,-0.6371795,1.893542,-1.9980221,0.014069793,-0.13146117,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-35.983868,2.0149982,-10.409018,-0.027552154,-2.7772162,-2.213162,-0.2711825,-2.715245,0.46536142,-0.98122066,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-18.111681,-6.4690876,-23.135057,3.9759786,-2.8457637,-2.0845864,-0.17959668,0.084784254,-1.6400806,-1.3302221,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-26.972244,0.048251912,5.180501,18.995293,-6.518958,-3.5191264,1.9398837,2.4108953,0.2815931,-0.6083001,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-44.59778,-8.510408,4.4120693,13.37451,-3.0909739,-0.19965865,1.1197436,-1.8255779,-0.21093792,-0.1944247,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-35.108086,15.5393095,-31.082253,-1.7421608,-1.4855293,-1.0440458,-1.1018513,0.74759346,-0.98201317,-2.3887372,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-41.437855,22.212822,25.970602,29.768423,-10.497455,-4.581902,0.93477774,6.827256,0.9083489,-1.489233,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-29.18008,2.687344,-12.907948,0.1465703,-3.6120481,-2.9141433,0.8957352,-2.062561,1.1185752,-0.7385425,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-49.369656,15.792238,10.229876,23.882677,-7.7202053,-0.67644775,0.6953504,3.112721,-0.11398166,0.17956647,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-35.69041,0.3842585,-8.180517,-0.24140766,-2.672679,-3.379239,-0.23118395,-0.91004896,2.796896,-0.68198264,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-35.3754,0.99840826,-11.21792,1.5552145,-3.2379065,-3.142301,0.27714777,-2.376047,0.6396097,-1.2392741,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-12.43533,-2.8327563,-18.646708,5.8212047,-4.4728613,-3.3726227,1.1560642,0.5095027,-1.1370323,-0.48342294,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-50.38461,20.490881,-22.54164,7.0247946,-6.2056584,-1.0733194,-1.4610305,0.73885584,-2.1902542,0.42751554,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-35.744713,18.902466,5.86662,23.45322,-10.338875,-4.765291,2.376219,3.76137,1.6773578,0.14706196,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-35.407093,-2.5967054,0.5982418,10.096205,-5.3442364,-1.9571831,2.5200667,-2.1958196,0.97404546,0.49506387,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-35.5874,12.464629,-5.639165,17.378086,-7.169739,-3.3923006,2.1756797,2.2562788,1.3528221,1.197907,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-50.3646,24.1538,-23.187698,5.30839,-5.737884,-0.48950872,-1.7896054,0.340618,-1.2073642,0.58222145,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-10.994075,-6.609185,-23.653006,1.3158809,-2.20469,-1.5714787,-0.3936449,0.46421814,-0.681798,-1.1924498,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-35.41321,13.01956,-24.178444,6.0086074,-3.9970107,-1.704258,-0.5877928,0.35490146,0.0019791832,0.064520344,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-47.77221,-1.3397195,-16.672615,2.0036974,-2.7357771,-3.240876,-0.35117272,-1.6030158,1.8113863,-1.2728885,9.28,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,26.630093,2345.3645,349.6089,63.548874,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
