principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,carbon_area,carbon_mass,Jmax,latin_genus,latin_species,leaf_mass_per_area,nitrogen_area,nitrogen_mass,Rd,Vcmax,leaf_dry_matter_content,equivalent_water_thickness,latitude,longitude,dataset,Unnamed: 2016,species_name,chlorophyll_area,chlorophyll_mass,carotenoids_area,carotenoids_mass,phenolics_mass,phenolics_area,solubles_mass,hemicellulose_mass,cellulose_mass,lignin_mass,aluminum_mass,boron_mass,calcium_mass,copper_mass,iron_mass,potassium_mass,magnesium_mass,manganese_mass,sodium_mass,phosphorus_mass,zinc_mass,solubles_area,hemicellulose_area,cellulose_area,lignin_area,aluminum_area,calcium_area,copper_area,iron_area,potassium_area,magnesium_area,manganese_area,sodium_area,phosphorus_area,zinc_area,boron_area,bio_1,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
-50.817226,-1.3071039,-18.703402,-2.6529534,-3.8446171,-4.3594627,-1.2615613,-0.20214568,2.4666383,-1.8737522,5.871,526.8,,Miconia,borealis,0.011145,0.222,19.9,0.596416937,90.32765903,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-69.970726,0.776571,7.1745405,-14.398491,-7.6474276,3.681172,-2.0047638,0.98345864,0.494632,0.5768593,3.717,494.0,,Vochysia,ferruginea,0.007525,0.139,18.5,,,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-26.385822,11.323715,-18.823505,-2.5447035,-3.3528576,-0.66150504,-0.76830924,-0.085173905,-0.08761449,-0.36980712,5.081,504.7,138.3656765,Terminalia,amazonia,0.010067,0.211,21.0,0.532637954,88.33258842,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-23.841991,14.411963,-19.076221,0.44035214,-2.4297626,-1.375246,-0.30751786,-0.22592267,0.10870033,-0.04040469,5.942,502.8,,Terminalia,amazonia,0.011818,0.234,19.8,,,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-47.970448,19.04918,-28.799334,-2.456528,-3.8832042,-0.23925917,-1.841903,0.49926853,-1.472757,-1.121327,5.913,495.7,,Vochysia,ferruginea,0.011928,0.196,16.4,0.973893803,126.4837329,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-47.038673,5.37929,-12.544275,-0.62829226,-4.3880725,-3.4301949,-0.5181006,-1.076069,2.1919122,-1.023154,6.48,528.0,135.6415459,Miconia,borealis,0.012273,0.205,16.7,0.346368861,92.89899867,,,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-47.155846,16.993822,-24.878084,-6.9424396,-0.770669,-2.241666,-0.2754606,0.76571316,0.09751434,-1.0313739,5.633,462.3,133.7397728,Vochysia,ferruginea,0.012185,0.196,16.1,0.793740221,94.17472984,403.8,0.0179908296186231,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-43.94882,-1.6080228,-10.862858,-1.466067,-2.38196,-0.9182582,0.6103706,-2.9970038,0.839491,-0.13402107,4.755,501.5,135.844022,Miconia,borealis,0.009482,0.231,24.4,-0.021626908,100.9763938,454.7,0.0113713098746426,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-3.50989,11.468215,6.1331587,-20.14997,-3.627835,-6.412879,2.3471568,3.9441428,2.9985707,-1.308015,3.981,451.9,63.72246789,Guatteria,dumetorum,0.008811,0.141,16.0,0.869006762,36.90361066,420.8,0.0121276882129278,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
-39.82594,-6.3935227,6.408422,-17.62435,-2.7033617,-1.9156076,0.54621434,1.4267164,2.803285,-0.94367635,4.786,436.8,62.84366609,Guatteria,dumetorum,0.010956,0.202,18.4,0.690573818,38.24771888,482.8,0.0117366263463132,9.28,-79.97,PA_SLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.630093,2345.3645,349.6089,63.548874,55.123344,7.3737774,368.0,370.0,319.0,615.0
