principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10,Unnamed: 0,Species,dataset,numSamples,LandCover,Tool,Sensor,Site,Year,Al_area_mg_cm2,Al_mass_mg_g,Anth_area_ug_cm2,Anth_mass_mg_g,Boron_area_mg_cm2,Boron_mass_mg_g,C_area_mg_cm2,C_mass_mg_g,Ca_area_mg_cm2,Ca_mass_mg_g,Car_area_ug_cm2,Car_mass_mg_g,Cellulose_mg_cm2,Cellulose_mg_g,Chl_area_ug_cm2,Chl_mass_mg_g,Cu_area_mg_cm2,Cu_mass_mg_g,EWT_mg_cm2,Fiber_mg_cm2,Fiber_mg_g,Flavonoids_area_mg_cm2,Flavonoids_mass_mg_g,Iron_area_mg_cm2,Iron_mass_mg_g,LAI_m2_m2,LMA_g_m2,LDMC_g_g,LWC%,Lignin_mg_cm2,Lignin_mg_g,Mg_area_mg_cm2,Mg_mass_mg_g,Mn_area_mg_cm2,Mn_mass_mg_g,N_area_mg_cm2,N_mass_mg_g,NSC_mg_cm2,NSC_mg_g,Phenolics_area_mg_cm2,Phenolics_mass_mg_g,P_area_mg_cm2,P_mass_mg_g,Potassium_area_mg_cm2,Potassium_mass_mg_g,Protein_g_m2,RWC%,Starch_area_mg_cm2,Starch_mass_mg_g,Sugar_area_mg_cm2,Sugar_mass_mg_g,S_area_mg_cm2,S_mass_mg_g,Zn _area_mg_cm2,Zn_mass_mg_g,Latitude,Longitude,bio_1,bio_12,bio_13-14,bio_15,bio_4,bio_7,clay_15-30cm_mean_0.01_deg,nitrogen_15-30cm_mean_0.01_deg,sand_15-30cm_mean_0.01_deg,soc_15-30cm_mean_0.01_deg
17.566359,9.781956,-9.518522,-4.127594,-5.6457543,-5.2455163,1.1379576,-3.786004,-0.705116,0.35137913,20,Epilobium tetragonum,1,73,Grassland,Proximal,ASD FieldSpec 3,"DoBeS, Belgium",2016.0,,,,,,,,,0.055860635,18.65403226,,,,,29.78528674,9.946462365,,,10.35193238,,,,,,,,29.94560845,0.224370611,77.56293886,,,0.009243956,3.086915323,,,0.08714314,29.100474,,,,,,,,,,,,,,,,,,,50.810271,4.635587,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
-24.170057,-9.058011,0.14208326,-1.6531537,0.39318734,-1.4360449,1.6748719,-2.867004,-0.2511573,2.1855056,21,Equisetum arvense,1,73,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",2016.0,,,,,,,,,0.345583121,28.47644711,,,,,63.27106705,5.213608781,,,29.62961483,,,,,,,,121.3575274,0.290569758,70.94302422,,,0.037284133,3.072255489,,,0.223376308,18.406465,,,,,,,,,,,,,,,,,,,50.978703,4.608445,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
-19.537333,5.300157,2.048622,-3.8885412,-1.0031197,-1.8899277,0.3810205,-2.940927,0.5610257,-0.056412783,22,Equisetum palustre,1,73,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",2016.0,,,,,,,,,0.181073296,17.72056452,,,,,47.90419839,4.688098455,,,46.31338702,,,,,,,,102.1825775,0.180752883,81.92471174,,,0.035063251,3.431431452,,,0.244742171,23.951458,,,,,,,,,,,,,,,,,,,51.050452,4.432147,10.275092,780.9378,25.266666,12.621699,546.30566,22.2,,,,
13.080618,13.293742,-5.774373,-0.18991074,-0.7571661,-0.8902153,3.4405813,-0.91727316,-0.6135472,1.4668924,23,Eupatorium cannabinum,1,73,Grassland,Proximal,SVC HR-1024TM,"DeMatSpo, Belgium",2016.0,,,,,,,,,0.069431934,17.71726908,,,,,38.23814723,9.757405616,,,12.20587454,,,,,,,,39.18884664,0.243035236,75.69647636,,,0.015775557,4.025522088,,,0.108137476,27.593942,,,,,,,,,,,,,,,,,,,50.951474,5.430897,10.163222,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
-17.148596,-3.3509727,-5.8429027,-0.058962315,-0.14191355,-6.4767113,4.7540154,-0.07551571,-0.8056742,-0.38297388,24,Festuca rubra,1,73,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",2016.0,,,,,,,,,0.026577478,5.1888,,,,,27.09807274,5.290437276,,,11.42379067,,,,,,,,51.22085628,0.309568713,69.04312872,,,0.009935002,1.93964,,,0.068468445,13.367298,,,,,,,,,,,,,,,,,,,50.953734,5.436023,10.163222,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
21.212397,0.022332696,-9.727002,0.36204582,-4.1768565,-8.553139,4.11206,-6.1754055,-2.023055,0.59371257,25,Filipendula ulmaria,1,73,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",2016.0,,,,,,,,,0.019997434,10.98283433,,,,,18.70853914,10.27495768,,,5.814839638,,,,,,,,18.20789898,0.238459696,76.1540304,,,0.013819759,7.58998004,,,0.04669939,25.647874,,,,,,,,,,,,,,,,,,,51.050452,4.432147,10.275092,780.9378,25.266666,12.621699,546.30566,22.2,,,,
44.188793,12.896843,-8.922992,-3.2880793,-3.3936586,-5.2422028,1.5431212,-3.4685395,-0.29351458,-0.11034531,26,Filipendula ulmaria,1,73,Grassland,Proximal,ASD FieldSpec 4,"DoBeS, Belgium",2016.0,,,,,,,,,0.040435249,8.804204409,,,,,27.87120037,6.06856025,,,8.695349306,,,,,,,,45.92720386,0.345627355,65.43726446,,,0.018198558,3.962478958,,,0.097272637,21.179743,,,,,,,,,,,,,,,,,,,50.810271,4.635587,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
20.260742,-2.2708218,-6.7460146,-1.8217646,-5.701223,-6.0520616,2.724087,-7.6976786,-1.2335136,-0.5973998,27,Glechoma hederacea,1,73,Grassland,Proximal,ASD FieldSpec 5,"BattN, Belgium",2016.0,,,,,,,,,0.031153235,12.94732673,,,,,22.82402641,9.485696376,,,10.99659417,,,,,,,,24.06151906,0.179526784,82.04732156,,,0.007203685,2.993861386,,,0.055788326,23.185704,,,,,,,,,,,,,,,,,,,51.060832,4.429857,10.275092,780.9378,25.266666,12.621699,546.30566,22.2,,,,
60.362373,-0.64210546,-6.7462325,0.16641721,-6.355178,-8.86937,3.1690125,-10.163742,-2.0520666,0.76391006,28,Glechoma hederacea,1,73,Grassland,Proximal,ASD FieldSpec 6,"BattSP, Belgium",2016.0,,,,,,,,,0.02597282,11.99109312,,,,,23.92323637,11.04484439,,,10.43868029,,,,,,,,21.66009365,0.171841547,82.81584534,,,0.005272961,2.434412955,,,0.049481011,22.84432,,,,,,,,,,,,,,,,,,,51.050452,4.432147,10.275092,780.9378,25.266666,12.621699,546.30566,22.2,,,,
6.176496,-20.854723,2.2463841,2.2078545,-3.0915573,-8.603911,5.174874,-5.855905,-3.5942855,2.1760287,29,Glechoma hederacea,1,73,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",2016.0,,,,,,,,,0.030815905,11.95794769,,,,,22.080311,8.568146914,,,9.967703459,,,,,,,,25.77022922,0.205426794,79.4573206,,,0.009610481,3.729295775,,,0.051511003,19.98857,,,,,,,,,,,,,,,,,,,50.953734,5.436023,10.163222,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
29.674133,-14.359206,17.681927,-12.258032,2.3602955,0.38304326,2.0162332,-10.297408,-2.433143,4.5780644,30,Hieracium aurantiacum,1,73,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",2016.0,,,,,,,,,0.058461105,18.8062249,,,,,23.91327112,7.692607802,,,17.32206252,,,,,,,,31.08603966,0.152153821,84.78461793,,,0.012774677,4.109457831,,,0.04747902,15.273422,,,,,,,,,,,,,,,,,,,50.978703,4.608445,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
-13.271422,5.437573,-3.2839534,-2.8729265,0.6372553,-2.4780622,3.4082398,-1.3171155,-1.3449395,0.9143574,31,Hieracium umbellatum,1,73,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",2016.0,,,,,,,,,0.099728124,19.15416667,,,,,42.22470055,8.109838233,,,15.88236417,,,,,,,,52.06602072,0.246887496,75.31125039,,,0.024185286,4.645119048,,,0.119449766,22.941981,,,,,,,,,,,,,,,,,,,50.953734,5.436023,10.163222,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
8.805512,-4.0271106,4.3627806,-4.6874695,1.6113598,-2.2374878,2.7249126,-1.7595936,-1.6951363,2.2046149,32,Hieracium umbellatum,1,73,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",2016.0,,,,,,,,,0.095512046,17.68424951,,,,,28.70283793,5.314388783,,,20.79431837,,,,,,,,54.00966904,0.206180878,79.38191225,,,0.015804635,2.926260315,,,0.104529865,19.353917,,,,,,,,,,,,,,,,,,,50.978703,4.608445,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
-9.087214,-19.067429,9.379518,-7.482255,-1.8588986,-1.2524575,1.5962394,-6.750217,-0.8695945,1.3236732,33,Holcus lanatus,1,73,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",2016.0,,,,,,,,,0.010143739,4.47026087,,,,,16.20385481,7.140903102,,,8.571388333,,,,,,,,22.69160438,0.209321547,79.06784531,,,0.003581386,1.578286957,,,0.051424567,22.662376,,,,,,,,,,,,,,,,,,,51.050452,4.432147,10.275092,780.9378,25.266666,12.621699,546.30566,22.2,,,,
28.623936,1.0597552,7.9724154,-6.5410185,-1.2942992,-3.38476,4.7808514,-8.8651085,-2.9072115,3.633825,34,Holcus lanatus,1,73,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",2016.0,,,,,,,,,0.014333884,5.132539683,,,,,19.55188465,7.000951153,,,9.401716442,,,,,,,,27.92746903,0.229017614,77.09823857,,,0.005919792,2.119702381,,,0.069283518,24.808377,,,,,,,,,,,,,,,,,,,50.953734,5.436023,10.163222,768.79114,26.782223,13.121497,573.7676,23.498667,215.0,144.0,230.0,139.0
11.234247,-19.254717,3.9195411,-3.1942742,-1.436068,-2.8014247,4.029573,-8.65452,-3.326288,3.5889378,35,Holcus lanatus,1,73,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",2016.0,,,,,,,,,0.012135445,4.216833667,,,,,17.60445922,6.117210835,,,9.342698097,,,,,,,,28.77857195,0.235493161,76.4506839,,,0.00438853,1.52492986,,,0.052461011,18.229192,,,,,,,,,,,,,,,,,,,50.978703,4.608445,10.5075,762.36444,24.244444,11.929838,563.0667,22.489779,,,,
