0,1,2,project,sample_id,site,stage,Latin Genus,Latin Species,growthform,functionalgroup,Latitude,Longitude,Al_area,Al_mass,B2089_mass,B2498_mass,Ca_area,Ca_mass,Carea,Cmass,Cu_area,Cu_mass,EWT,Fe_area,Fe_mass,K_area,K_mass,LDMC,LMA,Mg_area,Mg_mass,Mn_area,Mn_mass,Na_area,Na_mass,Narea,Nmass,P_area,P_mass,SLA,Zn_area,Zn_mass,car_area,car_mass,cellulose_area,hemicellulose_area,cellulose_mass,hemicellulose_mass,chlA_area,chlA_mass,chlB_area,chlB_mass,hemicellulose_area,hemicellulose_mass,lignin_area,lignin_mass,solubles_area,solubles_mass
-1.400733,0.004971622,0.42860937,2018-BeauchampRioux-MSc-UdeM,9156239,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,-99.0,0.012,0.079,0.072,-99.0,5.528,-99.0,47.21,-99.0,0.013,0.0863162921036702,-99.0,0.081,-99.0,7.593,349.070672534827,0.0462884139091932,-99.0,2.139,-99.0,0.346,-99.0,0.565,-99.0,2.3808,-99.0,1.848,21.6036782327811,-99.0,0.018,-99.0,1.69,-99.0,-99.0,10.4784619182108,9.50171124962884,-99.0,7.62,-99.0,2.549,-99.0,9.50171124962884,-99.0,8.53593555241263,-99.0,71.0126936090414
0.7108302,-0.0007904803,0.29427624,2018-BeauchampRioux-MSc-UdeM,9156239,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,5.55460966910319e-08,0.012,0.079,0.072,2.5588235209002e-05,5.528,0.002185276020653,47.21,6.01749380819512e-08,0.013,0.0863162921036702,3.74936152664465e-07,0.081,3.51467926812504e-05,7.593,349.070672534827,0.0462884139091932,9.90109173517643e-06,2.139,1.60157912125809e-06,0.346,2.61529538586942e-06,0.565,0.000110203455835,2.3808,8.55409889041891e-06,1.848,21.6036782327811,8.33191450365478e-08,0.018,7.82274195065366e-06,1.69,0.0004850313824018,0.0004398191431684,10.4784619182108,9.50171124962884,3.52717713988053e-05,7.62,1.17989167054534e-05,2.549,0.0004398191431684,9.50171124962884,0.0003951149179522,8.53593555241263,0.003287064954582,71.0126936090414
0.1847688,0.00042210708,-1.6339049,2018-BeauchampRioux-MSc-UdeM,9156239,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,-99.0,0.012,0.079,0.072,-99.0,5.528,-99.0,47.21,-99.0,0.013,0.0863162921036702,-99.0,0.081,-99.0,7.593,349.070672534827,0.0462884139091932,-99.0,2.139,-99.0,0.346,-99.0,0.565,-99.0,2.3808,-99.0,1.848,21.6036782327811,-99.0,0.018,-99.0,1.69,-99.0,-99.0,10.4784619182108,9.50171124962884,-99.0,7.62,-99.0,2.549,-99.0,9.50171124962884,-99.0,8.53593555241263,-99.0,71.0126936090414
-1.3560908,0.004810609,0.34632754,2018-BeauchampRioux-MSc-UdeM,9157296,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,-99.0,-99.0,0.042,0.043,-99.0,4.161,-99.0,47.73,-99.0,0.01,0.083924686342383,-99.0,-99.0,-99.0,8.674,374.13532048808,0.0501692944967843,-99.0,1.816,-99.0,0.071,-99.0,0.706,-99.0,2.3236,-99.0,1.724,19.9325107125853,-99.0,0.02,-99.0,1.607,-99.0,-99.0,10.1556557210107,10.4714463544825,-99.0,7.252,-99.0,2.372,-99.0,10.4714463544825,-99.0,6.63115603829739,-99.0,72.3914027887276
0.78640366,-0.0009141454,0.289881,2018-BeauchampRioux-MSc-UdeM,9157296,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,-99.0,-99.0,0.042,0.043,2.08754434401119e-05,4.161,0.0023945804263315,47.73,5.01692944967843e-08,0.01,0.083924686342383,-99.0,-99.0,4.35168460465107e-05,8.674,374.13532048808,0.0501692944967843,9.11074388061603e-06,1.816,3.56201990927169e-07,0.071,3.54195219147297e-06,0.706,0.0001165733726927,2.3236,8.64918637124561e-06,1.724,19.9325107125853,1.00338588993569e-07,0.02,8.06220562563324e-06,1.607,0.0005095020826753,0.0005253450759653,10.1556557210107,10.4714463544825,3.6382772369068e-05,7.252,1.19001566546372e-05,2.372,0.0005253450759653,10.4714463544825,0.0003326804201394,6.63115603829739,0.003631825605543,72.3914027887276
0.30033815,7.271668e-05,-1.5219226,2018-BeauchampRioux-MSc-UdeM,9157296,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,-99.0,-99.0,0.042,0.043,-99.0,4.161,-99.0,47.73,-99.0,0.01,0.083924686342383,-99.0,-99.0,-99.0,8.674,374.13532048808,0.0501692944967843,-99.0,1.816,-99.0,0.071,-99.0,0.706,-99.0,2.3236,-99.0,1.724,19.9325107125853,-99.0,0.02,-99.0,1.607,-99.0,-99.0,10.1556557210107,10.4714463544825,-99.0,7.252,-99.0,2.372,-99.0,10.4714463544825,-99.0,6.63115603829739,-99.0,72.3914027887276
-1.3231137,0.004887693,0.7257011,2018-BeauchampRioux-MSc-UdeM,9158421,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,-99.0,0.032,0.054,0.051,-99.0,4.738,-99.0,48.54,-99.0,0.009,0.0865338394470324,-99.0,0.072,-99.0,8.023,364.032282625247,0.0495325631122678,-99.0,1.972,-99.0,0.085,-99.0,0.748,-99.0,2.4132,-99.0,2.466,20.1887392286455,-99.0,0.027,-99.0,-99.0,-99.0,-99.0,9.239330529966,8.3812370095539,-99.0,-99.0,-99.0,-99.0,-99.0,8.3812370095539,-99.0,7.82226533416807,-99.0,74.2025408338954
0.27708006,-0.00011395606,0.27064538,2018-BeauchampRioux-MSc-UdeM,9158421,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,1.58504201959257e-07,0.032,0.054,0.051,2.34685284025925e-05,4.738,0.0024043106134694,48.54,4.4579306801041e-08,0.009,0.0865338394470324,3.56634454408328e-07,0.072,3.97399753849725e-05,8.023,364.032282625247,0.0495325631122678,9.76782144573921e-06,1.972,4.21026786454276e-07,0.085,3.70503572079763e-06,0.748,0.0001195319813025,2.4132,1.22147300634852e-05,2.466,20.1887392286455,1.33737920403123e-07,0.027,-99.0,-99.0,0.0004576477225906,0.0004151441511346,9.239330529966,8.3812370095539,-99.0,-99.0,-99.0,-99.0,0.0004151441511346,8.3812370095539,0.0003874568513455,7.82226533416807,0.0036754420369455,74.2025408338954
0.68360925,-0.0005561325,-2.1869154,2018-BeauchampRioux-MSc-UdeM,9158421,CF_MSB,-99,Acer,rubrum,tree,broadleaf,45.547597,-73.323269,-99.0,0.032,0.054,0.051,-99.0,4.738,-99.0,48.54,-99.0,0.009,0.0865338394470324,-99.0,0.072,-99.0,8.023,364.032282625247,0.0495325631122678,-99.0,1.972,-99.0,0.085,-99.0,0.748,-99.0,2.4132,-99.0,2.466,20.1887392286455,-99.0,0.027,-99.0,-99.0,-99.0,-99.0,9.239330529966,8.3812370095539,-99.0,-99.0,-99.0,-99.0,-99.0,8.3812370095539,-99.0,7.82226533416807,-99.0,74.2025408338954
-1.4577436,0.0050607547,0.25873566,2018-BeauchampRioux-MSc-UdeM,9163606,CF_MSB,-99,Acer,saccharum,tree,broadleaf,45.547597,-73.323269,-99.0,0.001,0.074,0.07,-99.0,8.0,-99.0,46.43,-99.0,0.01,0.0796407063802084,-99.0,0.058,-99.0,7.915,332.660889330871,0.0396999782986112,-99.0,1.874,-99.0,0.043,-99.0,0.871,-99.0,2.5741,-99.0,1.943,25.1889306457123,-99.0,0.014,-99.0,1.957,-99.0,-99.0,12.8665252623994,11.8841427024144,-99.0,9.076,-99.0,2.966,-99.0,11.8841427024144,-99.0,6.19270830375929,-99.0,68.5392540255154
